#{"t_start": 1723445741.770753, "env_id": "EnvCGR_T/ConTask-v0"}
r,l,t
1.35214,12,15.453051
7.759955,15,24.7738
9.906402,11,31.688909
6.587358,12,39.474742
-2.254143,7,43.939393
32.254241,24,58.822194
46.831103,31,77.55689
0.854847,15,86.85169
4.385099,7,91.259071
32.556309,36,112.471725
9.63941,14,121.237314
11.983824,17,131.793374
10.544862,5,135.027487
9.220274,5,138.294056
35.074017,41,162.862906
9.199757,22,176.562008
42.67728,46,205.082353
3.162373,6,209.212006
23.900691,21,222.094732
72.96499,57,256.616744
13.93321,14,265.130202
27.829571,44,291.917767
7.304428,8,296.990587
-0.264708,10,303.147574
81.883632,65,342.660461
115.266701,74,388.134478
13.3359,8,393.446884
83.499243,49,424.024247
24.931112,13,431.71437
42.089419,48,461.069013
30.20267,23,475.074762
16.009948,11,482.144142
56.547364,38,505.727995
57.171562,41,530.766802
79.401438,52,563.186739
68.17223,47,592.117361
37.108054,30,610.857027
11.30915,8,616.251484
11.859414,7,620.694785
55.164575,36,642.761304
59.398569,43,669.060424
39.337473,23,683.680925
48.905724,44,710.658789
95.570272,52,742.349192
73.239277,80,790.673651
58.596404,40,814.943185
79.214089,63,853.187024
76.775582,58,888.988125
91.284928,76,934.839687
90.464871,64,974.141303
57.357654,55,1008.038994
42.913161,27,1025.24738
117.338907,87,1078.966662
29.996086,36,1101.015213
149.456719,89,1157.012287
122.751585,100,1217.946669
71.907037,60,1253.878727
102.762412,86,1306.084963
171.735408,118,1377.12612
50.002505,42,1402.695309
60.570192,54,1435.892856
110.375646,69,1477.373276
132.375018,110,1544.366621
192.240082,124,1618.367189
85.505847,53,1650.969821
83.995993,48,1680.11438
120.518151,81,1729.24697
203.777964,130,1808.181878
98.708253,58,1843.715494
89.221259,46,1872.136486
176.193439,91,1927.157862
189.022121,91,1982.05615
190.889937,93,2038.663793
182.991912,90,2093.535805
67.461347,45,2121.352991
218.125682,104,2183.753801
179.747658,95,2241.25265
163.193296,82,2291.557647
65.76683,34,2312.749167
66.668582,39,2336.283896
157.0904,84,2386.850201
63.648163,36,2408.94631
172.837111,87,2462.936573
158.366537,73,2507.232353
81.079963,39,2530.871797
62.538729,29,2549.358535
190.199476,106,2612.93634
43.649448,37,2635.284495
184.69581,97,2693.722617
171.446897,90,2748.203683
212.580445,115,2817.359856
197.727629,123,2891.394538
191.081452,101,2952.505305
190.186639,102,3013.613099
137.010846,78,3060.807297
152.210527,77,3107.436878
79.787349,35,3128.695811
193.976153,106,3191.325874
121.329452,68,3232.19319
158.658078,73,3276.004159
117.158633,63,3313.295453
158.37487,77,3359.368556
150.109725,81,3407.105514
184.682873,84,3457.036162
164.572469,71,3499.570262
173.195826,80,3547.749714
69.914131,36,3569.260286
54.000306,30,3587.356871
51.721484,28,3603.836075
75.743949,43,3629.386718
23.248919,10,3635.681507
23.213614,10,3641.957963
142.671757,71,3685.790715
161.290289,75,3731.223988
75.435725,42,3757.228553
213.522459,93,3813.816903
167.218288,81,3863.052865
180.651816,82,3912.929777
76.922237,36,3934.820286
193.99665,83,3985.39832
172.233637,88,4038.459753
192.699175,89,4086.860765
89.09692,43,4106.353652
185.813667,81,4141.997158
184.423377,85,4179.489425
217.741489,104,4225.616629
226.287425,113,4275.248608
114.244002,71,4306.916362
150.221022,79,4341.79505
184.693838,85,4379.438701
180.758467,77,4413.47708
241.921329,129,4470.222782
222.849853,109,4518.237771
223.200624,118,4570.049
184.058785,90,4609.700534
217.036607,117,4661.346589
190.659476,103,4706.413532
199.990796,120,4759.688362
220.593656,132,4818.231517
225.157443,133,4876.802028
224.465011,116,4927.913447
201.055863,108,4975.841947
230.420221,122,5029.728912
189.79394,95,5071.734789
253.687942,162,5142.968086
213.954301,133,5200.825992
243.475704,138,5261.428954
206.291151,110,5309.751883
229.026519,120,5362.483166
84.155787,55,5386.693806
253.712826,142,5449.114923
205.641797,99,5492.908745
